0	0	0
0	0.1	0.309017
0	0.2	0.587785
0	0.3	0.809017
0	0.4	0.951057
0	0.5	1
0	0.6	0.951057
0	0.7	0.809017
0	0.8	0.587785
0	0.9	0.309017
0	1	0
0.2	0	0
0.2	0.1	0.127525
0.2	0.2	0.242566
0.2	0.3	0.333864
0.2	0.4	0.39248
0.2	0.5	0.412678
0.2	0.6	0.39248
0.2	0.7	0.333864
0.2	0.8	0.242566
0.2	0.9	0.127525
0.2	1	0
0.4	0	0
0.4	0.1	0.0526266
0.4	0.2	0.100102
0.4	0.3	0.137778
0.4	0.4	0.161968
0.4	0.5	0.170303
0.4	0.6	0.161968
0.4	0.7	0.137778
0.4	0.8	0.100102
0.4	0.9	0.0526266
0.4	1	0
0.6	0	0
0.6	0.1	0.0217179
0.6	0.2	0.0413098
0.6	0.3	0.0568581
0.6	0.4	0.0668407
0.6	0.5	0.0702805
0.6	0.6	0.0668407
0.6	0.7	0.0568581
0.6	0.8	0.0413098
0.6	0.9	0.0217178
0.6	1	0
0.8	0	0
0.8	0.1	0.00896249
0.8	0.2	0.0170477
0.8	0.3	0.0234641
0.8	0.4	0.0275837
0.8	0.5	0.0290032
0.8	0.6	0.0275837
0.8	0.7	0.0234642
0.8	0.8	0.0170475
0.8	0.9	0.00896263
0.8	1	0
1	0	0
1	0.1	0.00369862
1	0.2	0.0070352
1	0.3	0.00968312
1	0.4	0.0113832
1	0.5	0.0119689
1	0.6	0.0113837
1	0.7	0.00968138
1	0.8	0.00703813
1	0.9	0.00369613
1	1	0
